t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,chp2.bin,chp2.power,chp2.gas,chp2.heat,chp2.eta_th,chp2.eta_el,chp2.y1,chp2.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc01_expanded.power,arc02_expanded.power,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.heat,arc06_expanded.gas,arc07_expanded.gas,arc08_expanded.heat
23,0.1543,0.251,0.105,121.44172552592136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.44172552592136,112.65527106736904,1.0810618318129608,1.0,0.0,0.0,1.0,0.0,0.0,0.0,218.12957315560521,112.65527106736904,0.0,0.0,0.0,0.0,0.0,121.44172552592136,0.0,0.0,0.0,0.0,121.44172552592136,112.65527106736904,0.0,0.0
24,0.1543,0.251,0.105,125.78405753160912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,48.21594246839088,1.0,0.0,0.0,-48.21594246839088,266.3455156239961,162.46498599439482,0.0,0.0,0.0,0.0,48.21594246839088,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
25,0.1543,0.251,0.105,136.30073130880112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,136.30073130880112,126.7372181927316,1.0782172023274994,1.0,0.0,0.0,1.0,0.0,0.0,0.0,266.3455156239961,126.7372181927316,0.0,0.0,0.0,0.0,0.0,136.30073130880112,0.0,0.0,0.0,0.0,136.30073130880112,126.7372181927316,0.0,0.0
26,0.1543,0.251,0.105,161.79318458245825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,12.206815417541748,1.0,0.0,0.0,-12.206815417541748,278.55233104153785,162.46498599439482,0.0,0.0,0.0,0.0,12.206815417541748,174.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
27,0.1543,0.251,0.105,307.945532128739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,133.945532128739,1.0,133.945532128739,144.60679891279887,162.46498599439482,0.0,0.0,0.0,0.0,0.0,307.945532128739,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,133.945532128739
28,0.1543,0.251,0.105,224.33809213545905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,50.33809213545905,1.0,50.33809213545905,94.26870677733982,162.46498599439482,0.0,0.0,0.0,0.0,0.0,224.33809213545905,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,50.33809213545905
29,0.1543,0.251,0.105,244.92845964051588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864032005,117.03958691910668,68.0,0.5810000000228399,0.3179999999876268,0.0,1.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,2.9284596405158823,1.0,2.9284596405158823,91.34024713682393,162.46498599439482,-37.21858864032005,0.0,37.21858864032005,0.0,0.0,244.92845964051588,0.0,37.21858864032005,0.0,68.0,174.0,162.46498599439482,0.0,2.9284596405158823
30,0.1543,0.251,0.105,227.51863997635897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,53.51863997635897,1.0,53.51863997635897,37.821607160464964,162.46498599439482,0.0,0.0,0.0,0.0,0.0,227.51863997635897,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,53.51863997635897
31,0.1543,0.251,0.105,211.82160716046496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,37.821607160464964,1.0,37.821607160464964,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,211.82160716046496,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,37.821607160464964
32,0.1543,0.251,0.105,195.49702180559063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.21858864032005,117.03958691910668,68.0,0.5810000000228399,0.3179999999876268,0.0,1.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,46.502978194409366,1.0,0.0,0.0,-46.502978194409366,46.502978194409366,162.46498599439482,-37.21858864032005,0.0,37.21858864032005,0.0,46.502978194409366,242.0,0.0,37.21858864032005,0.0,68.0,174.0,162.46498599439482,0.0,0.0
