t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439525,1.070999999987968,1.0,0.0,0.0,0.0,70.92845964051546,1.0,70.92845964051546,461.2219263551,0.0,0.0,0.0,162.46498599439525,0.0,0.0,244.92845964051588
30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,53.51863997635897,1.0,53.51863997635897,407.703286378741,0.0,0.0,0.0,162.46498599439482,0.0,0.0,227.51863997635897
31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,37.821607160464964,1.0,37.821607160464964,369.881679218276,0.0,0.0,0.0,162.46498599439482,0.0,0.0,211.82160716046496
32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,21.497021805590634,1.0,21.497021805590634,348.3846574126854,0.0,0.0,0.0,162.46498599439482,0.0,0.0,195.49702180559063
33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.678978188590179,1.0,4.678978188590179,343.7056792240952,0.0,0.0,0.0,162.46498599439482,0.0,0.0,178.67897818859018
34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,8.24820217429317,1.0,0.0,0.0,-8.24820217429317,351.9538813983884,0.0,0.0,0.0,162.46498599438928,0.0,8.24820217429317,174.0
35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,11.869702440108853,1.0,0.0,0.0,-11.869702440108853,363.82358383849726,0.0,0.0,0.0,162.46498599438928,0.0,11.869702440108853,174.0
36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.50171135429312,1.0,0.0,0.0,-30.50171135429312,394.32529519279035,0.0,0.0,0.0,162.46498599439482,0.0,30.50171135429312,174.0
37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,16.723904692623734,1.0,0.0,0.0,-16.723904692623734,411.04919988541405,0.0,0.0,0.0,162.46498599438928,0.0,16.723904692623734,174.0
38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,5.438417286035303,1.0,0.0,0.0,-5.438417286035303,416.48761717144936,0.0,0.0,0.0,162.46498599438928,0.0,5.438417286035303,174.0
39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,17.0740243862453,1.0,17.0740243862453,399.41359278520406,0.0,0.0,0.0,162.46498599439482,0.0,0.0,191.0740243862453
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,35.978258886351796,1.0,35.978258886351796,363.43533389885226,0.0,0.0,0.0,162.46498599439482,0.0,0.0,209.9782588863518
41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,29.115315311805603,1.0,29.115315311805603,334.32001858704666,0.0,0.0,0.0,162.46498599439482,0.0,0.0,203.1153153118056
42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,47.85009048815621,1.0,47.85009048815621,286.4699280988904,0.0,0.0,0.0,162.46498599439482,0.0,0.0,221.8500904881562
