t,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,ngas_grid.gas_balance,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,45.8118665987767,1.0,0.0,0.0,-45.8118665987767,494.22609745101164,0.0,0.0,0.0,162.46498599439482,0.0,45.8118665987767,174.0
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,38.685157417510396,1.0,38.685157417510425,455.5409400335012,0.0,0.0,0.0,78.30882352940881,0.0,0.0,123.8851574175104
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.2461078560506,111.52217878277838,1.0812907225830937,1.0,0.0,0.0,1.0,0.0,0.0,0.0,455.5409400335012,0.0,0.0,0.0,111.52217878277838,0.0,0.0,120.24610785605115
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.2582084544272,134.27855534902352,1.0766938114325035,1.0,0.0,15.032601664378006,1.0,0.0,0.0,-15.032601664378035,470.57354169787925,0.0,0.0,0.0,134.27855534902352,0.0,15.032601664378006,144.2582084544272
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439536,1.070999999987968,1.0,0.0,29.15220195835137,1.0,0.0,0.0,-29.15220195835137,499.72574365623063,0.0,0.0,0.0,162.46498599439536,0.0,29.15220195835137,174.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,7.433464212152359,1.0,0.0,0.0,-7.43346421215233,507.15920786838296,0.0,0.0,0.0,162.46498599439482,0.0,7.433464212152359,174.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,4.340595358011626,1.0,0.0,0.0,-4.340595358011626,511.4998032263946,0.0,0.0,0.0,162.46498599439482,0.0,4.340595358011626,174.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,95.78217387350823,1.0,95.78217387350821,415.7176293528864,0.0,0.0,0.0,78.30882352940881,0.0,0.0,180.98217387350823
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.3909455619244,152.41073702040194,1.073031012661924,1.0,0.0,3.661791632903558,1.0,0.0,0.0,-3.661791632903558,419.3794209857899,0.0,0.0,0.0,152.41073702040194,0.0,3.661791632903558,163.3909455619244
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,55.97185343819724,1.0,55.97185343819723,363.4075675475927,0.0,0.0,0.0,78.30882352940881,0.0,0.0,141.17185343819725
21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,18.175699492357055,1.0,18.175699492357055,345.2318680552356,0.0,0.0,0.0,78.30882352940881,0.0,0.0,103.37569949235706
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,0.0,22.85637359730451,1.0,22.85637359730451,322.3754944579311,0.0,0.0,0.0,78.30882352940881,0.0,0.0,108.05637359730451
