t,Scenario5.GAS_PRICE,Scenario5.POWER_PRICE,Scenario5.HEAT_PRICE,Scenario5.heat_demand,Scenario5.heat_demand_scenario,Scenario5.delta_heat_demand,Scenario5.probability,Scenario5.chp1.bin,Scenario5.chp1.power,Scenario5.chp1.gas,Scenario5.chp1.heat,Scenario5.chp1.eta_th,Scenario5.chp1.eta_el,Scenario5.chp1.y1,Scenario5.chp1.y2,Scenario5.chp2.bin,Scenario5.chp2.power,Scenario5.chp2.gas,Scenario5.chp2.heat,Scenario5.chp2.eta_th,Scenario5.chp2.eta_el,Scenario5.chp2.y1,Scenario5.chp2.y2,Scenario5.boiler1.bin,Scenario5.boiler1.heat,Scenario5.boiler1.gas,Scenario5.boiler1.eta_th,Scenario5.boiler1.y1,Scenario5.boiler1.y2,Scenario5.heat_storage1.heat_charge,Scenario5.heat_storage1.bin_charge,Scenario5.heat_storage1.heat_discharge,Scenario5.heat_storage1.bin_discharge,Scenario5.heat_storage1.heat_balance,Scenario5.heat_storage1.heat_capacity,Scenario5.heat_storage1.dispatch_heat_capacity,Scenario5.heat_storage1.dispatch_heat_charge,Scenario5.heat_storage1.dispatch_heat_discharge,Scenario5.ngas_grid.gas_balance,Scenario5.power_grid.power_balance,Scenario5.power_grid.power_supply,Scenario5.power_grid.power_feedin,Scenario5.heat_grid.heat_balance,Scenario5.heat_grid.heat_supply,Scenario5.heat_grid.heat_feedin,Scenario5.heat_grid.dispatch_heat_feedin,Scenario5.heat_grid.dispatch_heat_supply,Scenario5.heat_grid.dispatch_heat_balance,Scenario5.arc01_expanded.power,Scenario5.arc02_expanded.power,Scenario5.arc03_expanded.heat,Scenario5.arc04_expanded.heat,Scenario5.arc05_expanded.heat,Scenario5.arc06_expanded.gas,Scenario5.arc07_expanded.gas,Scenario5.arc08_expanded.heat
21,0.1543,0.251,0.105,111.5328007805781,127.95347612381553,-16.420675343237434,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.4671992194219,1.0,0.0,0.0,-62.4671992194219,459.5556696382635,621.0391232142587,0.0,16.420675343237434,162.46498599439482,0.0,0.0,0.0,0.0,62.4671992194219,174.0,16.420675343237434,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
22,0.1543,0.251,0.105,122.3487884171389,103.03532970511412,19.313458712024783,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,51.651211582861094,1.0,0.0,0.0,-51.651211582861094,511.2068812211246,692.0037935091445,19.313458712024783,0.0,162.46498599439482,0.0,0.0,0.0,0.0,51.651211582861094,174.0,0.0,19.313458712024783,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
23,0.1543,0.251,0.105,121.44172552592136,120.51102063693558,0.9307048889857725,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,52.558274474078644,1.0,0.0,0.0,-52.558274474078644,563.7651556952032,745.492772872209,0.9307048889857725,0.0,162.46498599439482,0.0,0.0,0.0,0.0,52.558274474078644,174.0,0.0,0.9307048889857725,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
24,0.1543,0.251,0.105,125.78405753160912,107.14520713017986,18.638850401429266,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,48.21594246839088,1.0,0.0,0.0,-48.21594246839088,611.9810981635941,812.3475657420291,18.638850401429266,0.0,162.46498599439482,0.0,0.0,0.0,0.0,48.21594246839088,174.0,0.0,18.638850401429266,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
25,0.1543,0.251,0.105,136.30073130880112,102.12442772427794,34.17630358452318,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,37.69926869119888,1.0,0.0,0.0,-37.69926869119888,649.680366854793,884.2231380177512,34.17630358452318,0.0,162.46498599439482,0.0,0.0,0.0,0.0,37.69926869119888,174.0,0.0,34.17630358452318,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
26,0.1543,0.251,0.105,161.79318458245825,153.07548264258844,8.717701939869812,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,12.206815417541748,1.0,0.0,0.0,-12.206815417541748,661.8871822723347,905.1476553751628,8.717701939869812,0.0,162.46498599439482,0.0,0.0,0.0,0.0,12.206815417541748,174.0,0.0,8.717701939869812,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
27,0.1543,0.251,0.105,307.945532128739,346.5736235851515,-38.628091456412506,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.372168284790405,93.85113268603688,58.0,0.6179999999651689,0.2810000000106164,1.0,0.0,1.0,152.91266157415714,142.48041979485234,1.0750369904523749,1.0,0.0,0.0,0.0,97.03287055458196,1.0,97.03287055458202,564.8543117177527,769.4866933641683,0.0,38.628091456412506,142.48041979485234,-26.372168284790405,0.0,26.372168284790405,0.0,0.0,307.945532128739,38.628091456412506,0.0,0.0,0.0,26.372168284790405,0.0,58.0,152.91266157415714,142.48041979485234,0.0,97.03287055458196
28,0.1543,0.251,0.105,224.33809213545905,213.1187366066838,11.219355528775253,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,50.33809213545905,1.0,50.33809213545908,514.5162195822936,730.3679567574845,11.219355528775253,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,224.33809213545905,0.0,11.219355528775253,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,50.33809213545905
29,0.1543,0.251,0.105,244.92845964051588,249.59042313460247,-4.661963494086592,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,70.92845964051588,1.0,70.92845964051594,443.5877599417777,654.7775336228821,0.0,4.661963494086592,162.46498599439482,0.0,0.0,0.0,0.0,0.0,244.92845964051588,4.661963494086592,0.0,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,70.92845964051588
30,0.1543,0.251,0.105,227.51863997635897,224.36829512500532,3.150344851353651,0.007909008308975403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,53.51863997635897,1.0,53.51863997635894,390.06911996541874,604.4092384978767,3.150344851353651,0.0,162.46498599439482,0.0,0.0,0.0,0.0,0.0,227.51863997635897,0.0,3.150344851353651,0.0,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,53.51863997635897
