t,Scenario1.GAS_PRICE,Scenario1.POWER_PRICE,Scenario1.HEAT_PRICE,Scenario1.heat_demand,Scenario1.heat_demand_scenario,Scenario1.delta_heat_demand,Scenario1.probability,Scenario1.chp1.bin,Scenario1.chp1.power,Scenario1.chp1.gas,Scenario1.chp1.heat,Scenario1.chp1.eta_th,Scenario1.chp1.eta_el,Scenario1.chp1.y1,Scenario1.chp1.y2,Scenario1.chp2.bin,Scenario1.chp2.power,Scenario1.chp2.gas,Scenario1.chp2.heat,Scenario1.chp2.eta_th,Scenario1.chp2.eta_el,Scenario1.chp2.y1,Scenario1.chp2.y2,Scenario1.boiler1.bin,Scenario1.boiler1.heat,Scenario1.boiler1.gas,Scenario1.boiler1.eta_th,Scenario1.boiler1.y1,Scenario1.boiler1.y2,Scenario1.heat_storage1.heat_charge,Scenario1.heat_storage1.bin_charge,Scenario1.heat_storage1.heat_discharge,Scenario1.heat_storage1.bin_discharge,Scenario1.heat_storage1.heat_balance,Scenario1.heat_storage1.heat_capacity,Scenario1.heat_storage1.dispatch,Scenario1.heat_storage1.dispatch_delta_heat_charge,Scenario1.heat_storage1.dispatch_delta_heat_discharge,Scenario1.heat_storage1.dispatch_heat_capacity,Scenario1.ngas_grid.gas_balance,Scenario1.power_grid.power_balance,Scenario1.power_grid.power_supply,Scenario1.power_grid.power_feedin,Scenario1.heat_grid.heat_balance,Scenario1.heat_grid.heat_supply,Scenario1.heat_grid.heat_feedin,Scenario1.heat_grid.dispatch_heat_feedin,Scenario1.arc01_expanded.power,Scenario1.arc02_expanded.power,Scenario1.arc03_expanded.heat,Scenario1.arc04_expanded.heat,Scenario1.arc05_expanded.heat,Scenario1.arc06_expanded.gas,Scenario1.arc07_expanded.gas,Scenario1.arc08_expanded.heat
21,0.1543,0.251,0.105,111.5328007805781,91.35123340383625,20.181567376741853,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,62.4671992194219,1.0,0.0,0.0,-62.4671992194219,559.6031993669706,20.181567376741853,20.181567376741853,0.0,859.4893331478553,162.46498599439482,0.0,0.0,0.0,0.0,62.4671992194219,174.0,20.181567376741853,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
22,0.1543,0.251,0.105,122.3487884171389,103.03532970511412,19.313458712024783,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,51.651211582861094,1.0,0.0,0.0,-51.651211582861094,611.2544109498317,19.313458712024783,19.313458712024783,0.0,949.767462154766,162.46498599439482,0.0,0.0,0.0,0.0,51.651211582861094,174.0,19.313458712024783,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
23,0.1543,0.251,0.105,121.44172552592136,100.34062366131239,21.101101864608964,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,52.558274474078644,1.0,0.0,0.0,-52.558274474078644,663.8126854239104,21.101101864608964,21.101101864608964,0.0,1044.5279403580626,162.46498599439482,0.0,0.0,0.0,0.0,52.558274474078644,174.0,21.101101864608964,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
24,0.1543,0.251,0.105,125.78405753160912,107.14520713017986,18.638850401429266,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,48.21594246839088,1.0,0.0,0.0,-48.21594246839088,712.0286278923012,18.638850401429266,18.638850401429266,0.0,1130.0215836293119,162.46498599439482,0.0,0.0,0.0,0.0,48.21594246839088,174.0,18.638850401429266,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
25,0.1543,0.251,0.105,136.30073130880112,123.5690732876109,12.731658021190214,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,37.69926869119888,1.0,0.0,0.0,-37.69926869119888,749.7278965835001,12.731658021190214,12.731658021190214,0.0,1193.1841683628911,162.46498599439482,0.0,0.0,0.0,0.0,37.69926869119888,174.0,12.731658021190214,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
26,0.1543,0.251,0.105,161.79318458245825,153.07548264258844,8.717701939869812,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,12.206815417535864,1.0,0.0,0.0,-12.206815417535864,761.9347120010359,8.717701939869812,8.717701939869812,0.0,1222.8263876601666,162.46498599438928,0.0,0.0,0.0,0.0,12.206815417535864,174.0,8.717701939869812,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
27,0.1543,0.251,0.105,307.945532128739,312.2345855961459,-4.289053467406916,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,133.945532128739,1.0,133.945532128739,627.989179872297,-4.289053467406916,0.0,4.289053467406916,1080.3027485966138,162.46498599439482,0.0,0.0,0.0,0.0,0.0,307.945532128739,-4.289053467406916,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,133.945532128739
28,0.1543,0.251,0.105,224.33809213545905,151.58255125101755,72.7555408844415,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.49929825877754,119.34376473307513,1.0797107199159048,1.0,0.0,0.0,0.0,95.8387938766815,1.0,95.8387938766815,532.1503859956155,72.7555408844415,72.7555408844415,0.0,1129.9750364888152,119.34376473307513,0.0,0.0,0.0,0.0,0.0,224.33809213545905,72.7555408844415,0.0,0.0,0.0,0.0,128.49929825877754,119.34376473307513,0.0,95.8387938766815
29,0.1543,0.251,0.105,244.92845964051588,249.59042313460247,-4.661963494086592,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439525,1.070999999987968,1.0,0.0,0.0,0.0,70.92845964051546,1.0,70.92845964051546,461.2219263551,-4.661963494086592,0.0,4.661963494086592,1049.7226498601267,162.46498599439525,0.0,0.0,0.0,0.0,0.0,244.92845964051588,-4.661963494086592,0.0,0.0,0.0,0.0,174.0,162.46498599439525,0.0,70.92845964051546
30,0.1543,0.251,0.105,227.51863997635897,250.61832503147673,-23.09968505511776,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,53.51863997635897,1.0,53.51863997635897,407.703286378741,-23.09968505511776,0.0,23.09968505511776,950.0046397735322,162.46498599439482,0.0,0.0,0.0,0.0,0.0,227.51863997635897,-23.09968505511776,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,53.51863997635897
31,0.1543,0.251,0.105,211.82160716046496,200.15608254386063,11.66552461660433,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,37.821607160464964,1.0,37.821607160464964,369.881679218276,11.66552461660433,11.66552461660433,0.0,935.5140818462759,162.46498599439482,0.0,0.0,0.0,0.0,0.0,211.82160716046496,11.66552461660433,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,37.821607160464964
32,0.1543,0.251,0.105,195.49702180559063,213.0103784592469,-17.513356653656274,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,21.497021805590634,1.0,21.497021805590634,348.3846574126854,-17.513356653656274,0.0,17.513356653656274,878.9903467333727,162.46498599439482,0.0,0.0,0.0,0.0,0.0,195.49702180559063,-17.513356653656274,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,21.497021805590634
33,0.1543,0.251,0.105,178.67897818859018,174.42424805713745,4.254730131452732,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,0.0,4.678978188590179,1.0,4.678978188590179,343.7056792240952,4.254730131452732,4.254730131452732,0.0,882.820828807688,162.46498599439482,0.0,0.0,0.0,0.0,0.0,178.67897818859018,4.254730131452732,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,4.678978188590179
34,0.1543,0.251,0.105,165.75179782570095,126.77428236893414,38.97751545676681,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,8.24820217429317,1.0,0.0,0.0,-8.24820217429317,351.9538813983884,38.97751545676681,38.97751545676681,0.0,969.0240618955148,162.46498599438928,0.0,0.0,0.0,0.0,8.24820217429317,174.0,38.97751545676681,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
35,0.1543,0.251,0.105,162.13029755988526,172.59855420565452,-10.468256645769259,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,11.869702440108853,1.0,0.0,0.0,-11.869702440108853,363.82358383849726,-10.468256645769259,0.0,10.468256645769259,959.9572510440852,162.46498599438928,0.0,0.0,0.0,0.0,11.869702440108853,174.0,-10.468256645769259,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
36,0.1543,0.251,0.105,143.49828864570688,155.09103550783746,-11.592746862130582,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,30.50171135429312,1.0,0.0,0.0,-30.50171135429312,394.32529519279035,-11.592746862130582,0.0,11.592746862130582,967.2734686741171,162.46498599439482,0.0,0.0,0.0,0.0,30.50171135429312,174.0,-11.592746862130582,0.0,0.0,0.0,0.0,174.0,162.46498599439482,0.0,0.0
37,0.1543,0.251,0.105,157.27609530737038,142.858945319506,14.417149987864377,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,16.723904692623734,1.0,0.0,0.0,-16.723904692623734,411.04919988541405,14.417149987864377,14.417149987864377,0.0,1012.8316733424696,162.46498599438928,0.0,0.0,0.0,0.0,16.723904692623734,174.0,14.417149987864377,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
38,0.1543,0.251,0.105,168.5615827139588,134.33480993814553,34.22677277581329,0.015360432598524727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599438928,1.0709999999879691,1.0,0.0,5.438417286035303,1.0,0.0,0.0,-5.438417286035303,416.48761717144936,34.22677277581329,34.22677277581329,0.0,1086.7236361801315,162.46498599438928,0.0,0.0,0.0,0.0,5.438417286035303,174.0,34.22677277581329,0.0,0.0,0.0,0.0,174.0,162.46498599438928,0.0,0.0
